var_45,ordinal_position_data,int,artname,stat_code,raw_integer,stddev,correlation_14,word2vec,event,likelihood,v_633,semver,c_cor,swift,ksmpsa64,integer_22,iso_currency_code_v2,val_zs,NUMERIC_RANGE,val_corre,TRANSLATION,fchd84,val_atlj,c_gzl,bucket,jqa15,given_name,fact_standard_deviation,raw_schema_table_name,c_236,integer,partitionKey,binval,addressLine,src_decimal_float,col_vari,yyv37,binary,median_14,integer_2,image_embedding_14,fact_word_embedding,PARTITION_KEY,f_280,meta_586,fact_probability_confidence,INTEGER,probability_confidence_14,meanAverage,zip,raw_market_value,min_max,MAIDEN_NAME,standard_deviation_14,user_trend_growth_rate,correlation,f_role,probability_confidence_v2,duration,decimal_float_14,trend_growth_rate_14,standard_deviation_val,confidence_interval,MODIFIED_AT,customer_numeric_range,MEAN_AVERAGE,numeric_range_14,intval,col_wab,percentile_field,c_hds,mean,vital_sign_22,ordinal_position,image_embedding_val,standard_deviation
-36.68%,611,1047,The Scream,completed,9039,18.4381,0.8718,"[1.782, 0.0592, -0.0168, 0.8159, 0.2626, 1.2821, -0.7165, 1.8575]",Global Summit 2021,0.7707,H2O,1.12.12,0.6517,344674999,"[0.3405, -0.3978, -0.4773, 0.3196, -0.0538, -0.3387, -1.1874, 0.4402]",9264,CHF,3740,10-79,-0.3634,Namaste,4831-8945,41.8638,1,0.14,44.74,Anna,24.452,public.users,Major finding: data retention,3159,dt=2024-01,0,623 Maple Dr,2161.0023,"[26.25, 95.21]",Fe2O3,0,69.1898,3339,"[-0.4755, -0.4349, 0.3382, 0.0766, -0.4886, -0.6222, -1.208, 1.1429]","[0.702, -1.8141, -0.7491, -2.3531, 0.7492, 0.2995, 1.3733, 0.4905]",tenant=acme,Polyethylene,8-95,0.7464,2486,0.4009,-25.9286,14698,"$537,312,383",38-90,Lewis,34.5028,-28.47%,-0.7265,Software Engineer,0.8327,39082,-250.5442,-25.93%,41.2986,"[27.58, 69.92]",2021-08-21 14:57:28,33-74,73.8874,40-74,6234,2.0582,26.61,"$4,143,848",84.6823,BP 165/98 HR 79,767,"[0.0549, 0.0602, 0.23, -0.0828, -0.9195, 0.0051, 0.6164, 0.0738]",39.4554
-22.98%,425,810,The Scream,rejected,8928,32.0457,0.3034,"[0.482, 0.1568, 1.4021, 1.0609, 1.0488, -1.4125, -1.403, -0.5731]",Annual Conference 2020,0.4294,C6H12O6,3.3.54,-0.409,867453301,"[-0.55, -1.2482, -0.3717, 0.3378, 0.5092, -0.5146, 1.2994, 0.6202]",5564,USD,1692,18-77,0.1535,Bonjour,9500-6733,34.3699,1,27.14,48.74,William,35.2351,analytics.events,Non-conformance: access control,1279,dt=2024-01,0,4495 Elm St,5772.3543,"[2.27, 62.99]",Homo sapiens,0,-56.8554,2297,"[-0.2526, -0.7493, -0.0538, 0.4267, -0.2362, 0.1609, 0.3604, 0.0488]","[-0.5638, 1.9594, -0.2645, 1.2085, -0.7685, 0.6405, -0.9807, -0.1772]",region=2024-01,Carbon Fiber,43-51,0.0911,9122,0.4519,-99.2133,YC2 3ZU,"$771,344,479",23-65,Taylor,38.1203,-46.9%,0.4434,CTO,0.0337,23657,-229.3118,-6.88%,27.2342,"[3.19, 77.97]",2026-10-10 20:44:29,20-80,53.9008,31-78,8381,0.9684,0.02,"$4,675,185",-4.8379,BP 170/66 HR 74,299,"[-0.3048, 0.5224, 0.0651, 0.7204, -0.1497, 0.3448, -0.2777, -0.6011]",43.4215
-49.3%,962,2280,Water Lilies,approved,3326,15.2133,-0.6618,"[-0.8687, -0.8589, -1.0968, 1.7297, 2.0815, -0.4698, -1.2768, 2.3316]",Global Conference 2020,0.7755,C6H12O6,1.2.68,0.5104,745024699,"[-0.4629, 0.229, -0.5481, -0.206, 0.2465, -0.0904, 0.2387, 0.4552]",7703,JPY,2463,44-81,-0.2941,Guten Tag,8300-1010,21.9446,0,70.23,38.77,Logan,7.0587,analytics.events,Observation: backup schedule,3634,region=acme,1,2459 Oak Ave,9520.7559,"[17.14, 99.78]",Fe2O3,1,-3.194,3650,"[0.3198, -0.9789, 0.7703, 0.4341, -0.1007, 0.1875, 0.236, -0.2795]","[-0.7421, -1.1832, 0.1904, -0.0867, 0.7696, 0.7955, -0.6451, 2.324]",dt=acme,Glass,11-80,0.2434,9864,0.1858,-75.7772,27182,"$82,784,120",42-53,Anderson,48.1654,49.56%,-0.4038,Software Engineer,0.6507,40858,4740.4006,-20.02%,17.4558,"[34.46, 62.05]",2018-09-26T17:30:45Z,44-69,-22.8693,7-65,4731,3.7682,26.45,"$1,613,950",-41.5991,BP 155/69 HR 99,352,"[-0.2381, -0.1335, 0.2269, 0.5725, -0.4162, 0.0569, -0.4456, -0.3852]",13.8228
3.96%,772,3588,Water Lilies,approved,356,3.3698,-0.5114,"[1.7238, -0.8087, -1.6562, 0.4326, -0.2277, -0.0134, 0.0335, 0.7626]",Annual Conference 2024,0.3131,Homo sapiens,5.12.76,0.8566,355370981,"[0.7552, -0.2256, 0.4869, -0.5572, 0.1469, 0.4191, 1.0636, -0.0641]",4742,JPY,4593,39-68,0.1198,Hola,3350-3287,32.3733,1,99.31,39.92,Jessica,2.6911,hr.employees,Non-conformance: access control,7253,region=us-east,1,8729 Elm St,-743.8861,"[20.71, 66.93]",Homo sapiens,1,68.9785,3622,"[0.6285, 0.1842, 0.1218, -0.8198, -1.0085, 0.1062, 0.0814, -0.4633]","[1.2299, 2.9057, 0.208, 0.482, 1.2986, -1.0537, -0.8489, 1.0241]",region=us-east,Carbon Fiber,12-91,0.3869,7263,0.9125,-16.439,GC3 8FV,"$871,366,507",2-53,Lee,45.6215,-20.78%,0.2729,Product Manager,0.3555,8465,4340.4746,40.49%,6.7958,"[6.31, 81.05]",2019-02-02T19:08:28Z,24-59,92.5689,1-85,494,7.5914,76.62,"$3,881,787",-17.3445,BP 167/85 HR 116,884,"[0.414, 0.2003, -0.4163, -0.0384, -0.4879, -0.7298, 0.6197, 0.0995]",17.2213
15.94%,827,1973,The Scream,approved,855,41.8036,-0.4835,"[0.4407, -0.0352, -0.2432, -0.2394, -0.3282, -0.1711, -0.1666, 0.0063]",Annual Expo 2021,0.8937,NaCl,4.18.13,-0.8434,094185292,"[-0.0876, 0.5282, 0.4633, 0.093, -0.3354, 0.4202, 0.3289, 0.699]",6525,GBP,2826,16-90,0.0314,Konnichiwa,1948-3330,42.3279,1,15.82,59.71,Robert,26.5392,sales.orders,Major finding: data retention,818,region=2024-01,0,7534 Cedar Ln,6857.3108,"[25.26, 71.87]",C6H12O6,1,-65.8732,9211,"[-0.7505, -0.1797, 0.5342, 0.1606, -0.1001, -0.6613, 0.3731, 0.7361]","[0.4363, 0.9046, 0.6248, 0.198, 0.3954, 0.802, -0.0635, -1.0916]",region=us-east,Polyethylene,11-85,0.7066,3418,0.9768,-30.8047,10710,"$733,417,917",50-81,Young,32.065,-9.17%,-0.6069,VP Engineering,0.3149,8386,2211.8256,15.85%,19.1491,"[35.58, 80.98]",2021-10-23T20:22:23Z,15-52,50.1867,36-90,5538,2.1503,35.06,"$1,389,940",-36.709,BP 111/101 HR 93,876,"[-0.2407, 1.3865, 0.3886, -0.1497, 0.6471, -0.4375, -0.0698, 0.6001]",5.9969
9.52%,717,2393,Starry Night,active,9402,25.0728,0.9327,"[1.5328, -0.1472, -1.0182, 0.8913, 0.6361, -0.7393, 0.3515, -1.1042]",Data Expo 2021,0.6212,NaCl,0.19.70,-0.7149,864124935,"[-1.1705, -0.2253, 0.9332, 0.688, -0.4059, 0.0284, 0.9533, -1.0135]",3007,CHF,3109,25-83,-0.4162,Hola,1445-8691,3.5687,1,9.77,9.26,Robert,21.8075,public.users,Non-conformance: access control,6784,tenant=us-east,0,6455 Pine Rd,8892.8952,"[3.24, 61.06]",E. coli,1,-67.3639,3312,"[0.2869, -0.437, -0.5256, -0.2964, -0.1049, -0.1776, 0.2578, -0.3904]","[1.6008, -1.7206, -0.0057, -0.668, -0.5527, -1.3987, 0.2898, 0.6986]",dt=us-east,Steel,23-55,0.8497,3668,0.4779,-18.0913,KI2 2GL,"$363,439,473",50-67,Martin,37.6116,2.01%,-0.7264,Product Manager,0.3507,42354,8407.9372,-44.84%,5.8024,"[29.08, 95.82]",2026-01-05 02:45:59,26-92,40.2451,20-52,1097,2.2102,13.22,"$939,498",55.9493,BP 159/76 HR 116,184,"[0.2426, 0.341, -1.2283, -0.673, -0.0782, 0.0479, -0.1753, -0.0493]",30.7407
9.29%,974,2087,Water Lilies,failed,1465,19.7129,0.9689,"[0.3253, -0.4547, -1.1107, 0.7398, 1.1015, 0.2007, -1.0336, -0.6484]",Data Conference 2026,0.062,Homo sapiens,3.9.29,-0.2266,958443379,"[-0.1991, -0.0224, -0.2119, -0.6363, 0.3906, 0.202, -0.8823, -0.2354]",8373,CAD,8509,29-88,-0.812,Guten Tag,5464-9695,14.0903,1,0.13,86.02,Logan,13.5615,hr.employees,Non-conformance: access control,3881,region=2024-01,1,1145 Pine Rd,7390.4952,"[1.97, 70.56]",NaCl,1,-54.3305,1609,"[-0.3721, 0.2468, -0.6509, -0.3491, 0.114, 0.9475, -0.2664, -0.5372]","[0.0593, -0.5284, 0.084, 1.2158, 1.6129, 2.157, -0.0728, 0.0074]",dt=us-east,Carbon Fiber,39-73,0.7427,9469,0.9299,89.2238,20170,"$88,547,207",40-90,Jones,37.7977,-28.55%,-0.9691,Data Analyst,0.2322,72830,6482.133,25.44%,20.2636,"[35.7, 97.14]",2019-01-07 06:07:58,26-69,-3.6357,0-56,7117,3.1872,24.22,"$3,464,351",-88.3613,BP 174/75 HR 62,4,"[0.6304, -0.7382, -0.802, -0.7685, 0.2522, 0.4692, -0.0992, 0.7792]",45.1192
-7.32%,772,8715,Starry Night,inactive,8987,31.7578,0.6444,"[-0.0727, 0.2578, -1.4573, 1.8197, -0.6564, -0.3158, 0.0614, -0.5823]",Global Conference 2022,0.197,Fe2O3,0.11.11,-0.4507,953905722,"[0.1748, 0.4163, 0.3239, -1.1142, -0.6776, 0.5243, -0.2982, -1.0012]",2357,CNY,1162,24-83,-0.1721,Guten Tag,7572-4214,16.6183,0,43.25,65.56,Linda,35.3923,analytics.events,Observation: backup schedule,1077,tenant=acme,0,2269 Park Blvd,375.3723,"[39.68, 87.73]",H2O,1,-3.4349,6114,"[0.521, 0.1526, -0.5139, 0.138, -0.2802, 0.1706, -0.0042, 0.6464]","[0.8283, 0.6475, -1.5446, -1.4429, 0.7588, 0.969, -0.4193, -0.4446]",region=acme,Glass,17-96,0.5805,4212,0.6332,-64.4227,PG7 2FT,"$143,725,209",14-100,White,25.0479,23.6%,0.9241,Data Analyst,0.4196,18757,4173.9944,25.24%,46.1558,"[4.78, 74.81]",2020-02-08 02:46:30,16-81,36.837,7-64,3234,3.6299,39.14,"$3,137,629",-92.1423,BP 179/64 HR 114,648,"[0.1704, 1.066, 0.5267, -0.0788, -0.4725, -0.0744, 0.0887, 0.5176]",14.6294
34.08%,634,6865,Starry Night,rejected,6658,3.835,-0.6298,"[2.0461, 0.24, 1.2264, 0.0586, 0.9172, -0.7014, -0.4538, -0.8477]",Global Expo 2023,0.095,C6H12O6,2.10.13,0.3379,242934569,"[-1.3075, 0.1669, -0.8969, 0.3862, -0.5018, -0.8884, -0.2198, -0.5526]",7016,CNY,7665,8-80,0.2918,Konnichiwa,6512-2907,42.6284,1,37.56,20.43,Emily,21.3413,sales.orders,Observation: backup schedule,3763,region=2024-01,1,1569 Pine Rd,725.0956,"[3.12, 77.04]",C6H12O6,1,-92.3113,6993,"[0.0987, 0.4824, 0.6677, -0.7145, 0.2071, -0.7463, 0.6714, 0.4083]","[-0.6354, 0.2491, -0.0543, -0.6381, 0.6596, -1.3947, -2.6413, -0.0737]",region=2024-01,Carbon Fiber,9-92,0.0865,4876,0.903,-12.9502,24139,"$681,543,575",46-81,Thompson,22.883,24.2%,-0.8252,CTO,0.9731,17595,3507.4687,-4.39%,30.4945,"[11.85, 60.55]",2019-09-28T07:01:58Z,32-52,-12.8216,32-89,6497,2.0241,94.72,"$277,256",65.6782,BP 172/108 HR 79,361,"[-0.3981, -0.5409, 0.234, 0.024, 0.1343, 0.1665, 0.0507, -0.0982]",21.74
26.79%,455,7059,The Scream,pending,1077,25.6441,-0.7372,"[-0.975, -1.2094, 1.7186, -0.3892, -0.1409, -0.4835, -1.3109, 0.978]",Global Summit 2023,0.0969,Homo sapiens,0.8.4,0.8137,882696841,"[-0.0553, -0.3289, 0.078, -0.2091, 0.2152, -0.3409, -0.2615, 0.3739]",5007,CHF,6389,21-72,-0.7261,Namaste,4677-9168,25.0234,0,23.82,34.5,Ethan,14.5119,analytics.events,Observation: backup schedule,2351,region=us-east,0,2384 Cedar Ln,7834.2984,"[14.3, 97.64]",Fe2O3,1,15.0549,7953,"[0.1498, -0.4218, -0.0621, 1.1209, -0.6141, 0.606, -0.081, 0.4211]","[-1.7266, -0.1396, 0.6307, 0.381, -0.4896, 0.2918, -1.5505, -1.2999]",region=acme,Aluminum,45-89,0.86,3210,0.7287,-87.5747,92660,"$683,039,057",3-93,King,42.1564,49.78%,-0.0138,Product Manager,0.0127,6309,6548.913,-26.77%,30.4963,"[36.39, 85.3]",2020-11-13 04:17:02,2-80,59.1317,23-80,7852,8.8472,54.86,"$923,898",-24.7202,BP 128/103 HR 107,129,"[-1.19, -0.0076, -0.3711, -0.1431, -0.0742, -0.0801, 0.0866, 0.3572]",2.7431
23.19%,594,22,The Persistence of Memory,inactive,7629,9.0327,0.414,"[-1.1647, 1.0481, 0.9039, 2.4752, 1.1848, -1.7352, 0.2898, -2.7835]",Data Forum 2026,0.5294,E. coli,3.5.97,-0.285,027873079,"[-0.2245, 0.035, 0.401, -0.111, -0.2263, -0.6504, -0.6704, -0.2934]",5854,GBP,7227,24-67,-0.6467,Namaste,3170-3283,38.8462,1,2.03,49.71,Linda,45.1356,public.users,Major finding: data retention,3242,region=us-east,1,1300 Maple Dr,-968.5376,"[6.9, 76.25]",C6H12O6,1,-45.5582,774,"[0.5535, 0.3967, 0.5512, -0.3342, -0.2653, 0.5829, 0.9663, 0.439]","[-1.6732, 1.2132, 1.9228, -0.9683, 1.3766, 1.2423, -0.5018, -0.5819]",dt=acme,Glass,40-90,0.5908,8381,0.3607,-58.3676,14777,"$952,628,585",42-91,Martinez,30.3354,25.44%,-0.2651,Data Analyst,0.9424,65271,3272.7766,-47.57%,12.2232,"[32.45, 80.66]",2021-02-10T19:34:24Z,27-90,-56.4476,35-93,7292,0.5122,34.96,"$2,315,224",94.1214,BP 123/81 HR 76,247,"[-0.0796, -0.2055, 0.6196, 0.4325, -0.0235, 0.5537, -0.4691, 0.1638]",49.2074
-8.46%,320,7044,The Scream,failed,6063,14.739,0.8109,"[0.6103, 0.4462, 0.1897, 0.8428, -0.7076, -1.845, 0.4948, -0.2435]",Tech Summit 2023,0.7329,NaCl,4.19.31,-0.1986,253713062,"[-0.2904, -0.2868, 0.4091, 0.3932, -1.0488, -0.3387, -0.5138, 0.8701]",7416,GBP,9907,29-89,-0.6359,Guten Tag,1279-1872,12.0512,1,60.78,92.03,Logan,36.1768,public.users,Non-conformance: access control,1693,tenant=2024-01,0,3963 Cedar Ln,6889.2442,"[36.85, 87.72]",Fe2O3,0,61.6464,1553,"[-0.1166, 0.524, -0.7221, -0.1017, 0.3563, 0.3378, -0.0505, 1.0321]","[0.5934, 0.3381, -1.9673, 0.5126, 0.1842, 0.8137, 1.0482, 1.0715]",region=us-east,Steel,28-52,0.8512,4025,0.1234,-46.6063,88985,"$751,461,442",8-64,Harris,31.4248,5.16%,0.1559,Designer,0.6436,59777,9060.5835,-19.9%,17.9403,"[16.96, 89.18]",2021-01-03T03:56:55Z,11-91,-74.8696,34-96,1131,9.2681,8.93,"$2,618,673",56.797,BP 142/74 HR 81,368,"[0.5934, 0.7992, 0.4743, 0.8165, 0.0669, 0.0712, -0.4653, -0.0926]",23.4352
15.8%,10,5756,The Scream,rejected,4767,7.2477,0.6917,"[-0.5112, -1.5137, 0.0481, -0.2594, -0.4201, 1.1176, 1.3674, 0.8037]",Global Forum 2026,0.224,NaCl,2.8.48,-0.7305,912509113,"[-0.5401, 0.834, 0.2053, 0.2866, -0.2789, -0.614, -0.4313, 0.4648]",8587,GBP,325,5-53,0.1088,Namaste,9638-1852,45.6738,0,6.83,25.57,Logan,39.0655,analytics.events,Non-conformance: access control,3378,region=acme,0,4929 Cedar Ln,2028.6286,"[10.16, 89.08]",C6H12O6,1,-46.5371,3411,"[-0.6912, -0.3356, 0.183, 0.6627, 0.8192, 0.0233, 0.9993, -0.4031]","[-0.0267, 0.5284, 0.7229, 0.0203, 1.6417, 0.6407, -1.4285, -1.4582]",dt=acme,Steel,24-56,0.203,5762,0.5983,14.211,17509,"$284,217,613",45-84,Lee,7.0623,10.54%,0.0462,Designer,0.5319,5862,5899.3598,29.72%,46.7375,"[12.71, 71.84]",2022-01-02 00:42:41,7-84,-42.2078,18-64,7186,9.5534,8.71,"$4,939,045",-43.8353,BP 166/108 HR 85,897,"[0.3825, 0.6095, -0.2394, 0.4053, -0.5816, 0.2366, 0.5596, -0.2731]",34.6411
44.94%,906,6455,Water Lilies,rejected,4076,42.2959,-0.1935,"[-2.1848, -0.986, 0.1747, -0.045, -0.7439, 0.1384, 0.1451, -0.0085]",Data Forum 2024,0.7945,H2O,3.12.42,-0.9755,731158366,"[0.556, 0.6521, 0.6392, -0.2945, -0.0587, 0.2968, -0.4432, 0.4474]",4305,INR,9211,33-63,-0.2764,Hola,4627-4102,4.1006,0,16.59,21.02,Emma,20.7311,sales.orders,Non-conformance: access control,9227,dt=2024-01,1,8133 Elm St,9283.073,"[38.05, 78.29]",H2O,0,25.1558,419,"[0.2423, -0.9019, 0.1295, -0.3477, 0.4574, 0.1379, -0.5262, 0.0899]","[-0.9665, 0.5034, -0.1, -1.0751, 0.6838, 0.4509, 1.0053, -1.8408]",dt=2024-01,Carbon Fiber,32-62,0.5239,205,0.6327,-86.274,ML7 7EV,"$291,532,771",44-91,Moore,10.8861,-40.18%,-0.2365,Data Analyst,0.587,5218,6172.445,25.45%,21.5417,"[0.12, 69.5]",2026-09-14T09:40:57Z,32-87,80.8829,11-81,2049,5.8324,80.07,"$4,891,828",26.3066,BP 146/90 HR 109,759,"[-0.8647, -0.3802, 0.1888, 1.046, 0.8748, 0.5331, 0.2291, 0.9505]",27.6913
29.2%,630,4463,The Scream,cancelled,7328,13.1535,-0.5403,"[2.0523, 1.4759, 0.3801, -0.6845, -1.239, -0.1446, 0.9604, -0.0268]",Global Expo 2025,0.3885,H2O,5.6.24,-0.3448,694994866,"[0.2439, 0.274, 0.0614, -0.6434, 1.08, 0.2898, 0.2393, 0.0724]",5201,EUR,1642,32-79,-0.0734,Hola,6622-4168,25.2693,1,52.8,74.23,Ethan,16.8567,hr.employees,Non-conformance: access control,1112,tenant=us-east,1,9395 Oak Ave,-43.7191,"[5.06, 77.86]",Homo sapiens,1,83.8171,3076,"[-0.1185, 0.0894, -0.1634, -1.0802, 0.4624, 0.4177, 0.2347, 0.2912]","[0.7672, -0.992, -2.47, 1.487, -0.7188, 0.5652, -0.5221, -0.8636]",dt=2024-01,Glass,24-97,0.7818,7519,0.4128,37.3377,HB1 8FP,"$416,102,153",16-65,Brown,18.2501,-21.65%,0.0753,Designer,0.7121,66986,4886.8443,8.21%,21.1363,"[37.48, 75.5]",2025-11-17T08:28:46Z,42-81,53.2147,32-95,4125,1.0226,30.01,"$2,770,432",46.4198,BP 133/82 HR 75,268,"[-0.2554, 0.3753, -1.0773, -0.5161, 1.0725, -0.3233, -0.1818, 0.5591]",10.0803
48.66%,16,6556,Starry Night,failed,4961,39.6693,0.0613,"[-3.0026, -0.4148, -0.3697, -0.2447, -0.2604, -0.0039, -0.4167, 0.1018]",Global Forum 2023,0.4262,H2O,4.11.42,0.6075,731195923,"[-0.0413, 0.1924, -0.2776, -0.1276, 0.0703, -1.4619, 0.4172, 0.5408]",9119,CHF,9944,43-61,-0.4218,Hola,2014-7826,9.0938,0,32.88,91.17,Logan,4.1563,public.users,Non-conformance: access control,9269,tenant=2024-01,1,5155 Main St,7440.0327,"[25.61, 63.78]",NaCl,1,94.3628,5055,"[0.4453, 0.772, 0.4389, 0.2263, -0.3815, -0.1185, -0.0149, -0.0247]","[0.8636, 0.7626, 0.4116, 1.1822, 0.1898, 0.2183, -0.2031, 0.4843]",region=2024-01,Carbon Fiber,14-81,0.6509,9847,0.8347,-65.5635,TB1 4JW,"$330,605,629",46-87,Lewis,23.0451,-26.47%,0.1454,VP Engineering,0.5567,4461,6585.9693,-39.9%,26.9763,"[21.27, 86.35]",2026-12-03 15:32:56,31-79,-85.7135,42-55,576,4.8131,41.93,"$199,768",-94.5537,BP 127/97 HR 87,512,"[0.042, 0.4818, 0.1231, 0.1954, 0.2565, -0.591, -0.8681, 0.752]",32.7774
-37.02%,387,7247,The Scream,inactive,9641,17.8035,-0.7358,"[-0.526, 1.4942, 0.8674, 0.0928, -0.8141, -0.498, -0.9108, 1.4629]",Data Conference 2026,0.2199,E. coli,2.19.46,-0.4033,578776321,"[-0.3593, -0.1408, 0.2737, -0.25, 0.5777, 0.0128, 0.4152, -0.2619]",7135,INR,8136,7-75,0.5454,Guten Tag,2871-7260,29.1297,0,65.02,28.63,David,3.6488,hr.employees,Non-conformance: access control,6582,dt=acme,1,8964 Maple Dr,1933.6697,"[36.59, 87.31]",E. coli,0,-38.805,4194,"[-0.3236, -0.0962, -0.492, 0.6496, -0.4593, -0.5574, 0.2834, -0.3999]","[-0.0926, -0.0562, 0.6703, -0.1644, -0.7924, 0.3191, 0.9849, 0.8633]",region=acme,Carbon Fiber,31-64,0.5183,6925,0.1943,79.2993,AE5 4HY,"$55,844,617",16-68,Robinson,10.8238,-8.34%,-0.5513,Product Manager,0.98,48207,3551.966,-8.31%,32.9893,"[19.96, 89.62]",2019-02-05 01:43:00,41-57,-52.9586,10-89,348,7.6637,76.47,"$2,886,593",54.5251,BP 165/63 HR 110,194,"[-0.3994, -1.0887, 0.255, 0.8821, 1.0464, 0.1807, -0.3659, 0.0225]",46.9597
